id,trigger,conditions,script,text,options,notes
#RULESET_NAME Epsilon Pact,,,,,,
aiCoresEpsilpac_disableTurnInOption,DisableTurnInCoresOptionIfNeeded,"$global.espcCoresRedirected
$faction.id == epsilpac
$id != espc_isabelle
$id != espc_gauss","SetTooltip aiCores_startTurnIn ""The Pact does not accept AI Cores through its administrators. You will need to find someone else to speak to.""
SetEnabled aiCores_startTurnIn false",,,
aiCoresEpsilpac_disableSelectOption,EpsilpacDisableSelectCoresOptionIfNeeded,!AICores playerHasCores,"SetTooltip aiCores_selectCores ""You do not have any AI cores in your possession.""
SetEnabled aiCores_selectCores false",,,
,,,,,,
aiCoresEpsilpac_turnInOptionSel,DialogOptionSelected,"$option == aiCores_startTurnIn
$faction.id == epsilpac
!espc_RulesUtil isRandomSector",FireAll GenericCoreOptionsEpsilpac,"The $personRank stares bemusedly for a moment, before responding.

""I'm sorry, we don't.. do things that way here. If you're looking to repatriate any individuals in your custody, I'll have to redirect you to someone else.""",,
aiCoresEpsilpac_playerHasOption,GenericCoreOptionsEpsilpac,,,,0:aiCoresEpsilpac_genericContinue:Inquire as to who.,
aiCoresEpsilpac_neverMindOption,GenericCoreOptionsEpsilpac,,,,"100:aiCoresEpsilpac_neverMind:""Never mind, I don't actually have any.""",
aiCoresEpsilpac_neverMindOptionSelected,DialogOptionSelected,$option == aiCoresEpsilpac_neverMind,FireAll PopulateOptions,,,
,,,,,,
aiCoresEpsilpac_GenericContinue2,DialogOptionSelected,$option == aiCoresEpsilpac_genericContinue,FireAll EpsilpacCoreLocations,,,
aiCoresEpsilpac_GenericNotTocquiera,EpsilpacCoreLocations,$market.id != espc_tocquiera_market score:100,"SetTextHighlights ""Tocquiera"" ""Isabelle""
FireAll PopulateOptions
SetTooltip aiCores_startTurnIn ""The Pact does not accept AI Cores through its administrators. You will need to find someone else to speak to.""
SetEnabled aiCores_startTurnIn false
$global.espcCoresRedirected = true
espc_RulesStory revealCoreContacts","""You'll want to talk to either our Head of Research or our Head of Ops. They can offer blueprints in exchange, once you've done enough.""

""The former, you can find stationed on Tocquiera. As for Isabelle..."", $heOrShe says with a shrug, ""I'm sure you'll run into her somewhere.

Now, is there anything else I can help you with?""",,
