id,type,text1,text2,text3,text4,notes
epsilpac,FACTION,"Appearing quite suddenly only a few cycles after the second AI war, the Epsilon Pact's obscure origins are the subject of rife speculation. A pair of tenets, one more controversial than the other, tie together their rather disparate demographics: Equal rights and living standards for all sapient life, and the Pact administration's insistence on the inclusion of AI cores in their definition of ""living"". The latter stance is taken with anything from begrudging acceptance to ardent pride amongst the citizenry, eccentric ideals and the sector's eternal ire a small price to pay for what they see as a fairer society.

Relations with the rest of the sector tend to be strained at the best of times, owing to the Pact's extremist stances on AI. Even those who would put AI cores to use are slighted for their supposed humanitarian violations against distinctly non-human entities. Though small, inscrutable, and mercurial as a polity, their outsized industrial and technological capacity is well-recognized and often sought after, diplomatically or otherwise.

As a loose federation with no real binding agreements, planetary governments vary in policy but often defer judgment to the Pact navy's admiral for security reasons. The spacefaring de-facto head of state has thus far maintained popular support, despite (or perhaps because of) their sordid past as a mercenary commander and guerilla.",,,,
,,,,,,
espc_flagbearer,SHIP,"Otherwise underwhelming in every other regard, the tiny hull and outwardly low-tech specifications of this frigate belie its true potential. Its networked flux distributor allows it to bolster allies and strain enemies, making for a powerful support frigate able to punch far above its weight.

All technical concessions are made for the sake of optimizing flux throughput, augmenting use of the Gauss-Oni continuity drive. Great care must be taken during ship maintenance to avoid upsetting the highly sophisticated, yet brutally eloquent assembly running its myriad systems. The disproportionately large logistical profile of the Flagbearer is otherwise justified by its raw tactical utility and versatility, acting as a potent force multiplier under the right command.","Otherwise underwhelming in every other regard, the tiny hull and outwardly low-tech specifications of this frigate belie its true potential. Its networked flux distributor allows it to bolster allies and strain enemies, making for a powerful support frigate able to punch far above its weight.",,,
espc_rondel,SHIP,"Although somewhat sparsely armed, the Rondel is engineered to bring extraordinary amounts of firepower to bear in an instant. Most that face one down on the field learn quickly not to underestimate its seemingly scant armament.

Unusually fast for a shielded frigate, many compromises have been made in favor of its raw offensive performance. Complaints of ammunition belts lining its cramped corridors are common among novice crewmembers, but generally cease after one observes how quickly they deplete in combat.

Such a potent combination of low-tech speed and firepower comes with an inflated logistical footprint relative to its visible armament, leaving the Rondel rather unappealing compared to similar designs. The presence of this ship in a fleet suggests of a commander that understands its worth well, and justifies the fear many hold of its unassuming profile.","Although somewhat sparsely armed, the Rondel is engineered to bring extraordinary amounts of firepower to bear in an instant. Most that face one down on the field learn quickly not to underestimate its seemingly scant armament.",,,
espc_jackalope,SHIP,"Taking after a certain ill-conceived pirate design, the Jackalope's main armament is almost comically large compared to the ship itself. The outsized firepower of its heavy mount is tempered by an ultra-light frame, making for an unwieldy but sometimes deceptively agile ship.

Crew that serve on Jackalope-class hulls are trained and outfitted to withstand heavy jerk generated by weapons fire, utilizing magboots and generously situated safety harnesses. Though a dreaded assignment for some, others are content to put up with its stomach-churning maneuvers, simply for the hull's reputation - after all, being on the receiving end of its fire is no more appealing for its would-be targets.","Taking after a certain ill-conceived pirate design, the Jackalope's main armament is almost comically large compared to the ship itself. The outsized firepower of its heavy mount is tempered by an ultra-light frame, making for an unwieldy but sometimes deceptively agile ship.",,,
espc_songbird,SHIP,"The Songbird is a potent attack frigate, equipped with strong engines and a robust power core. A flexible weapons package allows it to hunt independently, though its arcane offensive system is by far its deadliest tool.

As its capacitors strain themselves against a target, the Songbird generates a long, audible droning noise over the duration of its system. This less-than-dulcet tone has gained an infamous reputation as a death knell for hulls of all sizes, an unsettling portent of often unmanageable incoming fire. Though its call is feared, the ship itself is only modestly armed for its cost, relying on its fleet to provide the bulk of firepower.

Although Pact engineers are keen to avoid high-tech for the sake of high-tech, often embracing moded and venerable principles, the Songbird stands as a shining pinnacle of their technological prowess.","The Songbird is a potent attack frigate, equipped with strong engines and a robust power core. A flexible weapons package allows it to hunt independently, though its arcane offensive system is by far its deadliest tool.",,,
espc_opossum,SHIP,"The Opossum is small and nimble, but surprisingly resilient for its size. An uncommon combination of a potent shield emitter belies and durable armor plating allows it to take on large amounts of fire, whilst presenting enough of a threat to still mandate attention from its targets.

Concessions have been made flux-wise in order to accommodate for these defensive qualities, sacrificing the efficacy of its specialized competitors for the sake of survivability. An intrepid captain could find surprising mileage in its exotic system, particularly when utilized offensively - if prepared to pay for it. The constant overloads and subsequent reliance on armor plating makes for a veritable nightmare of post-combat maintenance, mandating healthy bonuses for any crew willing to serve on this class of hull.","The Opossum is small and nimble, but surprisingly resilient for its size. An uncommon combination of a potent shield emitter belies and durable armor plating allows it to take on large amounts of fire, whilst presenting enough of a threat to still mandate attention from its targets.",,,
,,,,,,
espc_ember,SHIP,"An odd combination of tanker and combat vessel, the Ember's singular oversized mount is a threatening proposition for larger aggressors. Though it sports unusually robust flux characteristics, it's still a tanker, unwieldy and lacking in meaningful defensive options - aside from its offense.

Closer inspection reveals the Ember to be almost entirely designed around the union of its heavy armament and plentiful fuel reserves. Engineering tolerances are strict and internals are packed tightly as physically possible, enabling the ship to mount a single oversized weapon at the exclusion of the smaller auxiliary mounts one might expect to find.

The volume and weight of the Ember's fuel nacelles leave the ship rather clumsy in terms of maneuvering, creating a noticeable blindspot in its otherwise omni-directional turret coverage. The ships that would normally exploit this, however, tend to fare poorly in the face of its singularly-focused firepower.","An odd combination of tanker and combat vessel, the Ember's singular oversized mount is a threatening proposition for larger aggressors. Though it sports unusually robust flux characteristics, it's still a tanker, unwieldy and lacking in meaningful defensive options - aside from its offense.",,,
espc_militia,SHIP,"What once began life as an armed civilian liner billed with the modest goal of safe travel, quickly shed the trappings of civility for the sake of its more specialized siblings. The Militia sports a solid combination of excellent logistical capabilities alongside respectable armament and combat endurance.

A hardy all-in-one combination, the Militia's initial sales pitch of ""economical"" hybridized transport was doomed from the beginning under the Domain's prosperous rule. It was rather fitting for the design to be saved only by the collapse of everything around it, gaining a new lease on life with the Pact's rediscovery and rejuvenation of its long-abandoned schematics.

Speaking to engineers tasked with the enviable task of maintaining this class of hull, one might surmise it was designed for war. This thought is fed in no small part by the very limited run of civilian models, and the subsequent unfortunate disappearance of original production chips only a few cycles after manufacturing first began.","What once began life as an armed civilian liner billed with the modest goal of safe travel, quickly shed the trappings of civility for the sake of its more specialized siblings. The Militia sports a solid combination of excellent logistical capabilities alongside respectable armament and combat endurance.",,,
